G2,G1,failures,studytime,Medu,Fedu,higher,internet,romantic,G3
18,17,0,2,4,4,1,1,0,19
11,11,0,2,3,1,1,1,0,12
18,18,0,2,4,4,1,1,0,18
11,10,0,2,4,4,1,0,0,11
11,13,0,2,1,1,1,1,1,11
16,16,0,3,4,4,1,1,1,17
17,17,0,2,4,2,1,1,1,18
9,10,3,2,2,1,0,1,1,8
10,10,0,2,3,3,1,1,0,10
10,11,0,2,1,1,1,0,0,11
18,18,0,4,4,2,1,1,1,18
12,11,0,1,0,2,1,1,0,11
12,12,0,3,3,2,1,1,1,12
9,10,0,3,2,3,1,1,0,9
11,14,0,3,2,2,1,0,0,12
13,13,0,2,4,4,1,1,0,14
11,12,0,2,4,4,1,1,0,13
7,8,0,3,3,1,0,0,0,8
15,15,0,4,3,1,1,1,0,15
14,14,0,2,4,4,1,1,0,14
15,14,0,1,3,3,1,1,0,15
13,14,0,3,4,3,1,1,0,13
13,14,0,2,4,4,1,1,0,13
12,13,0,1,3,3,1,1,0,13
15,14,0,2,2,1,1,1,1,16
13,12,0,1,4,4,1,1,0,13
8,9,1,1,1,3,0,1,0,8
11,10,0,4,2,2,1,1,1,12
11,11,0,3,1,1,1,0,1,10
15,15,0,2,4,4,1,1,0,15
16,15,0,3,4,4,1,1,1,16
13,12,0,2,2,1,1,1,1,12
8,8,1,1,2,1,0,1,1,9
7,7,3,2,1,1,1,0,0,8
18,17,0,2,4,2,1,1,0,18
15,14,0,2,2,4,1,1,1,16
14,13,0,1,4,4,1,1,0,14
14,14,0,3,0,2,1,1,0,15
13,13,0,1,4,4,1,1,0,14
11,11,1,2,3,2,1,1,0,11
13,13,0,3,3,3,1,1,1,13
10,11,0,2,4,2,1,1,1,10
8,8,0,2,4,4,1,1,1,8
11,12,0,4,4,0,1,1,0,11
13,12,0,2,1,2,1,1,0,14
13,12,0,2,1,1,1,1,0,12
17,19,0,3,1,1,1,1,0,18
11,11,0,2,4,4,1,1,1,12
12,11,0,3,4,2,1,1,0,14
11,12,0,1,0,2,1,0,0,12
11,10,1,3,2,3,1,1,0,10
11,9,0,3,3,3,1,1,1,11
14,14,0,1,1,1,1,1,1,14
10,9,0,1,2,1,0,0,1,11
11,10,0,2,4,4,1,1,0,11
17,17,0,4,1,1,1,0,0,18
9,8,0,1,1,2,1,0,0,10
11,10,0,3,1,2,1,1,0,11
11,10,1,2,2,2,1,1,0,11
9,11,1,1,2,2,0,1,0,10
9,9,3,1,2,1,0,1,0,10
11,11,0,2,3,3,1,1,0,11
16,16,0,3,4,4,1,1,1,16
12,11,0,2,2,1,1,1,0,14
15,14,0,1,4,4,1,1,0,17
15,15,0,2,4,3,1,1,1,15
10,9,1,3,2,1,1,1,1,11
9,7,3,2,3,1,1,1,1,10
9,11,2,1,1,1,0,1,1,0
9,9,0,1,0,1,1,0,0,10
15,16,0,2,4,3,1,1,0,16
15,12,0,2,2,1,1,1,1,15
12,13,0,2,4,4,1,1,0,12
16,17,0,1,2,2,1,0,1,16
13,13,0,4,2,2,1,1,0,13
13,14,0,1,2,2,1,0,0,12
12,12,0,2,2,3,1,1,0,13
15,13,0,3,2,2,1,1,1,15
12,13,0,2,2,2,1,1,0,13
13,14,0,1,1,1,1,1,1,14
11,10,1,1,2,3,0,1,0,11
11,11,0,2,2,1,1,1,1,12
17,14,0,2,2,2,1,1,0,17
8,7,0,1,2,2,1,1,1,8
12,11,0,2,3,3,1,1,0,12
18,18,0,1,4,4,1,1,1,17
11,13,0,2,2,2,1,0,0,11
8,10,0,1,4,4,1,1,0,9
14,15,0,3,1,1,1,1,0,15
12,11,0,3,2,2,1,1,1,13
15,15,0,3,4,4,1,1,1,14
9,8,1,1,1,1,1,1,1,9
11,10,0,1,4,4,1,1,1,11
18,18,0,4,3,2,1,1,0,18
10,8,0,1,2,1,0,0,1,9
14,15,0,2,4,3,1,1,0,15
15,15,0,2,3,1,1,1,0,16
10,7,0,1,1,2,1,1,0,10
12,12,0,2,4,4,1,1,0,12
9,9,0,1,3,3,1,1,1,10
12,11,0,1,4,4,1,1,0,12
10,12,0,4,4,4,1,1,1,11
11,10,0,3,2,4,1,1,0,10
11,12,1,2,1,3,1,1,0,11
12,11,0,1,1,1,1,1,1,13
9,12,0,2,3,2,0,1,1,10
11,9,0,1,3,2,1,0,1,11
11,12,0,2,3,2,1,1,0,11
9,9,0,1,2,2,0,0,0,10
13,13,0,1,4,4,1,0,1,13
13,13,0,4,2,2,1,1,1,13
9,6,0,2,4,3,1,1,0,11
11,13,0,4,3,1,1,1,0,11
11,9,0,2,1,2,1,0,0,10
5,8,1,2,2,4,1,1,0,8
10,10,0,2,3,3,1,0,1,11
10,11,0,1,2,1,1,1,0,11
16,17,0,2,4,4,1,0,0,16
15,14,1,1,4,4,1,1,0,16
9,8,1,2,3,3,1,1,0,10
13,13,0,3,1,1,1,1,0,14
0,5,0,2,4,2,1,1,1,0
15,16,0,2,1,2,1,0,1,15
13,15,0,1,3,4,1,1,0,14
12,11,0,2,2,3,1,0,0,12
6,7,0,1,3,2,1,1,0,7
18,17,0,3,3,1,1,1,0,17
10,9,0,2,3,4,1,0,0,11
12,14,0,2,4,3,1,1,1,12
8,8,0,2,2,2,1,1,1,10
18,18,0,3,2,2,1,1,0,18
11,12,0,2,4,4,1,1,1,12
11,10,0,3,3,2,1,0,0,12
12,12,0,1,2,1,1,1,0,13
11,10,0,1,1,1,0,1,1,10
10,11,1,2,2,1,0,1,0,11
11,6,3,1,3,2,1,0,0,9
9,8,1,1,1,1,1,1,0,10
0,7,0,2,1,1,1,0,1,0
12,13,0,1,2,3,1,1,0,12
10,10,0,2,2,2,1,1,0,11
12,11,0,1,4,4,1,1,0,12
12,12,0,2,1,1,1,1,0,12
9,10,0,1,4,2,1,1,1,11
10,8,0,2,1,1,1,0,1,11
9,7,0,2,4,1,1,1,0,8
12,13,0,3,4,4,1,1,0,13
12,11,0,3,2,2,1,1,1,13
16,15,0,3,4,4,1,1,0,16
13,12,0,1,2,1,1,1,0,12
16,16,0,2,3,4,1,1,0,16
9,10,0,2,2,1,1,1,1,10
7,9,0,1,2,1,1,1,0,6
15,14,0,2,4,3,1,1,1,15
13,10,0,2,4,4,1,0,0,13
9,9,0,2,1,1,1,1,0,9
12,13,0,2,3,3,1,1,1,12
17,17,0,2,4,4,1,1,0,17
11,10,0,1,1,2,1,1,0,11
13,12,0,2,1,1,1,1,0,13
12,14,1,2,4,4,1,1,1,13
15,14,0,4,4,2,1,1,0,17
9,10,0,2,3,4,1,0,0,10
10,11,0,2,4,4,1,1,0,11
10,9,0,1,2,2,1,1,0,10
15,14,0,2,4,4,1,1,0,15
13,13,0,1,3,1,1,0,0,14
9,8,0,2,1,2,0,1,0,9
0,7,1,1,2,2,1,0,1,0
12,11,0,4,4,4,1,1,1,12
12,10,0,3,2,1,1,1,0,13
13,11,0,2,3,3,1,1,1,14
14,13,0,1,4,1,1,1,1,14
14,13,0,2,3,2,1,1,0,13
6,6,1,1,1,1,0,1,0,7
10,11,0,3,1,1,1,1,1,10
18,17,0,2,4,2,1,1,0,18
10,10,0,2,1,1,1,1,1,10
6,8,1,1,2,2,0,1,1,0
12,13,0,2,2,2,1,1,0,13
14,14,0,4,3,3,1,1,0,15
16,16,0,4,2,3,1,1,1,16
16,14,0,3,3,2,1,1,1,17
11,12,0,2,3,4,1,1,0,11
10,10,0,2,2,2,1,1,0,10
11,12,0,2,2,2,1,1,0,11
16,15,0,2,4,2,1,1,1,16
8,8,2,2,1,1,1,1,1,9
13,13,0,2,2,3,1,1,0,14
10,11,0,2,2,1,1,1,0,11
9,8,0,2,2,1,0,1,1,10
8,7,1,1,2,2,0,1,1,8
11,13,1,1,2,2,1,0,0,11
9,10,0,2,1,1,1,0,1,10
12,12,0,3,1,1,1,0,1,12
10,9,0,1,1,3,0,1,1,9
11,10,0,1,3,3,1,1,0,12
12,12,0,2,3,4,1,1,0,13
11,10,1,2,4,3,1,1,1,11
12,10,0,2,2,1,0,1,1,12
12,11,0,2,2,3,1,1,1,14
16,16,0,2,3,3,1,1,1,16
9,7,0,1,1,1,1,0,0,10
12,13,0,2,1,1,1,1,0,12
16,16,0,2,2,1,1,1,0,16
13,12,0,2,4,1,1,1,0,14
9,9,0,2,1,2,1,0,0,10
18,17,0,2,2,4,1,0,0,17
12,9,0,1,2,3,1,1,0,13
14,13,0,2,4,2,1,1,0,14
9,9,0,1,2,2,1,1,0,9
11,9,1,1,1,1,0,1,1,10
13,12,0,2,2,2,1,1,0,14
12,12,0,2,3,4,1,1,0,13
9,9,1,1,3,4,1,1,0,10
10,8,0,2,2,3,1,1,0,10
8,8,0,2,1,1,0,0,1,8
11,12,0,1,1,2,0,1,0,11
13,13,0,3,4,4,1,1,0,13
11,11,0,2,4,3,1,1,0,11
15,14,0,3,4,3,1,1,1,17
13,12,0,2,3,1,1,0,0,12
10,10,0,2,1,4,1,0,1,11
10,11,0,2,2,2,1,1,0,11
14,13,0,3,4,4,1,1,0,13
15,14,0,3,2,1,1,1,0,15
14,14,0,2,3,3,1,1,0,15
17,17,0,1,4,4,1,1,0,17
10,10,0,1,3,1,1,1,0,10
11,9,0,2,2,2,0,1,0,12
10,12,0,2,2,2,1,1,0,11
11,12,0,1,1,3,1,0,1,12
14,14,0,1,3,3,1,1,0,15
7,7,0,1,2,1,1,1,1,0
10,9,1,1,2,2,1,1,0,10
12,13,0,2,3,3,1,1,0,12
11,0,0,2,4,4,1,0,0,11
17,14,0,3,2,2,1,0,0,15
16,16,0,2,2,2,1,1,1,16
15,12,0,3,4,4,1,1,0,15
12,12,0,2,4,4,1,1,0,13
10,9,0,1,1,2,1,0,0,11
8,9,1,2,3,2,0,1,0,10
13,12,0,2,4,2,1,1,0,14
10,10,0,1,1,1,1,1,1,16
15,16,0,2,4,4,1,0,0,16
17,17,0,1,4,4,1,1,0,17
11,12,0,1,4,4,1,0,0,11
9,9,0,2,4,4,1,0,0,10
12,12,0,2,2,2,1,1,0,13
10,12,0,3,2,1,1,1,1,11
8,7,2,1,2,1,0,1,0,6
8,8,3,1,3,2,1,1,0,7
8,8,0,1,2,2,0,1,0,9
11,11,0,4,2,2,1,1,0,12
11,12,0,1,1,1,1,0,1,11
10,10,0,3,1,1,0,0,1,11
12,12,0,2,2,2,1,1,0,14
11,10,0,1,0,0,1,1,0,11
10,10,1,2,3,2,1,0,1,10
16,12,0,2,2,1,1,1,0,16
12,13,0,2,3,3,1,1,0,13
13,13,0,2,2,1,1,0,0,13
12,11,0,2,3,3,1,1,1,13
11,10,0,1,3,2,1,1,0,11
10,9,0,2,4,1,1,1,0,10
14,13,0,3,3,3,1,1,0,14
8,6,0,1,1,1,0,0,0,7
14,13,0,2,1,1,1,0,1,15
19,18,0,4,3,1,1,0,0,19
8,10,0,1,2,1,1,1,0,10
8,7,1,2,1,1,1,1,1,9
9,10,1,2,1,1,1,1,0,11
10,12,0,1,3,3,1,1,0,11
10,9,0,2,2,2,0,1,0,11
17,14,0,3,3,2,1,1,1,17
11,9,0,4,4,3,1,1,0,11
11,12,0,2,2,2,1,1,1,11
6,8,0,1,3,1,1,1,0,8
13,8,0,1,2,2,0,0,1,10
17,16,0,2,1,0,1,1,1,18
9,8,0,2,3,1,1,1,0,9
10,11,0,2,2,2,1,1,0,11
8,5,1,1,1,1,1,0,0,0
0,9,1,2,2,2,1,0,1,0
11,11,0,1,3,1,1,1,1,12
13,14,0,2,1,1,1,0,0,13
16,14,0,2,4,4,1,1,1,16
12,12,0,1,4,3,1,1,0,12
10,10,1,2,3,3,1,1,1,1
14,15,0,3,4,4,1,1,0,16
13,12,0,1,4,4,1,1,0,12
11,10,0,1,2,2,1,1,0,12
15,15,0,2,2,3,1,1,0,15
8,9,3,1,1,2,1,0,0,10
15,11,0,3,1,1,1,1,1,15
12,12,0,2,2,1,1,1,0,15
13,12,0,2,2,2,1,1,0,13
9,9,2,2,1,1,0,1,0,10
14,13,0,3,1,1,1,1,1,15
11,10,0,1,1,1,1,1,0,11
11,10,0,2,3,4,1,1,1,11
14,13,0,2,3,4,1,1,1,15
10,9,1,1,1,1,1,1,0,10
17,18,0,1,4,2,1,1,0,18
13,11,0,1,1,2,1,0,0,13
8,9,2,1,1,2,1,1,0,10
15,15,0,2,4,4,1,0,0,16
12,11,0,3,2,3,1,1,0,14
13,12,0,1,1,1,1,0,0,13
9,10,0,2,3,3,1,1,1,10
14,13,0,2,3,3,1,0,0,14
16,15,0,1,4,4,1,1,0,17
7,8,1,1,3,3,0,1,0,7
12,11,0,1,3,4,1,1,1,14
13,13,0,2,1,2,1,0,0,13
12,13,0,2,2,2,1,1,0,14
14,15,0,3,4,4,1,1,1,15
8,4,2,2,3,3,0,1,0,8
13,13,0,1,3,2,1,1,0,13
12,11,0,4,2,2,1,1,0,12
10,9,0,2,2,2,0,1,0,11
10,10,0,2,4,3,1,1,0,11
9,9,1,1,2,3,0,1,1,10
7,6,1,1,1,1,1,1,1,8
8,6,2,2,1,2,1,0,0,8
9,7,1,3,1,1,0,0,1,9
12,12,0,2,4,3,1,1,0,13
11,10,0,2,4,3,1,1,1,11
12,12,0,2,2,2,1,1,0,12
8,9,1,2,1,2,1,1,1,8
7,6,1,1,1,2,0,1,1,7
13,13,0,3,4,4,1,1,0,14
12,11,0,2,4,2,1,0,0,13
10,9,0,1,1,2,0,1,1,10
12,11,0,1,3,3,1,1,0,13
14,14,0,3,4,2,1,1,1,14
8,8,0,2,4,2,1,1,0,0
17,14,0,2,4,2,1,1,0,17
16,15,0,2,2,4,1,1,1,16
11,9,1,2,3,3,1,1,0,10
14,13,0,1,4,4,1,1,1,14
13,14,0,1,2,1,1,0,0,12
12,11,0,2,3,3,1,1,0,14
12,13,0,2,4,4,1,1,1,12
12,11,0,1,2,2,1,1,0,12
17,16,0,2,1,1,1,0,0,18
7,8,0,2,2,2,0,1,0,8
13,14,0,2,2,2,1,1,0,13
16,14,0,2,3,2,1,1,0,15
13,13,0,3,4,4,1,1,1,13
10,11,0,1,2,1,0,1,1,10
9,10,3,2,2,2,1,1,0,10
10,8,0,2,1,3,1,0,0,9
6,7,2,2,3,2,1,1,1,8
9,8,1,2,3,4,1,1,1,8
11,10,0,2,1,2,1,0,0,11
10,11,0,2,4,3,1,1,0,11
11,10,0,1,4,1,1,1,0,11
11,10,0,2,3,3,1,1,0,12
5,7,0,2,4,4,1,1,1,0
11,11,0,1,1,0,1,0,1,12
9,10,0,4,3,1,1,1,0,10
12,11,0,1,3,3,1,1,0,11
8,7,0,2,2,3,1,0,0,8
10,8,0,1,4,1,1,0,1,9
11,12,0,1,2,1,1,1,0,11
12,10,0,2,4,2,1,1,1,14
11,11,0,2,4,3,1,1,1,13
8,7,0,1,1,2,1,1,0,9
14,15,0,2,4,3,1,1,1,17
8,6,0,1,2,1,0,0,0,9
11,12,0,1,2,2,1,1,0,11
13,14,0,4,2,2,1,0,0,14
11,10,0,1,1,3,0,1,1,11
13,13,0,2,2,2,1,1,0,13
16,16,0,2,3,4,1,1,1,17
7,8,0,2,2,1,1,1,0,0
10,11,0,2,3,2,1,1,0,10
12,13,0,1,2,2,1,0,0,13
11,11,0,2,3,3,1,1,0,11
9,11,1,2,3,3,1,1,1,10
10,10,0,1,2,3,1,1,1,10
13,14,0,1,3,4,1,1,0,14
11,11,0,1,1,1,1,0,0,11
17,15,0,3,4,4,1,1,0,17
0,8,3,2,1,1,0,0,1,0
10,11,0,1,3,3,1,1,0,10
14,13,0,4,2,2,1,0,0,14
10,8,1,1,1,0,1,1,1,10
12,9,2,3,4,4,1,1,0,12
11,11,0,1,4,4,1,0,0,11
16,15,0,2,3,2,1,1,0,17
8,10,1,3,1,2,1,0,0,8
14,14,0,3,4,3,1,1,0,14
14,13,0,3,4,4,1,1,1,15
10,10,1,2,2,4,1,1,0,10
12,15,0,3,3,3,1,0,0,13
14,14,0,1,1,2,1,1,0,15
13,14,0,2,2,2,1,1,0,14
9,8,0,1,4,4,1,1,0,11
15,16,0,2,4,2,1,1,0,16
11,11,0,3,3,3,1,1,0,11
13,10,0,2,3,2,1,1,1,13
9,10,0,4,2,2,0,0,1,11
10,10,1,1,1,1,1,0,1,10
9,9,1,1,1,4,1,1,0,8
9,11,0,2,2,2,1,0,0,11
10,9,0,1,2,2,0,0,0,10
8,9,0,2,3,3,1,0,1,9
14,15,0,2,4,2,1,0,0,14
14,15,0,2,4,4,1,1,1,15
15,15,0,3,3,4,1,1,0,17
5,5,2,2,3,2,1,0,1,7
12,11,0,3,3,4,1,1,0,12
10,9,2,2,0,1,0,0,0,11
18,16,0,2,3,2,1,1,0,18
11,11,0,2,3,1,1,1,1,14
15,14,0,2,3,2,1,1,0,16
15,14,2,1,3,2,1,0,0,15
10,10,0,1,3,3,1,1,0,11
10,10,2,2,1,1,1,0,1,10
10,9,1,2,1,1,0,0,0,10
8,8,1,1,1,1,1,1,1,9
11,7,0,1,2,1,1,1,0,11
11,8,1,1,1,1,0,1,1,10
14,13,0,1,4,4,1,1,0,14
14,14,0,4,1,1,1,1,0,14
16,16,0,3,4,2,1,1,0,16
11,11,0,1,4,1,1,1,1,10
12,13,0,2,4,4,1,0,1,13
13,12,0,1,4,4,1,1,0,13
15,13,0,2,4,4,1,1,0,16
11,9,0,1,4,3,1,1,0,11
11,12,0,3,3,2,1,1,1,11
8,8,0,2,3,1,1,1,1,8
14,14,0,2,3,2,1,1,0,16
10,9,0,2,2,2,1,1,0,11
12,13,0,2,2,1,1,0,1,12
10,10,0,1,2,2,1,1,1,10
10,10,0,1,1,2,0,1,0,11
8,7,3,1,3,1,0,1,1,5
12,11,0,3,1,1,1,0,0,14
8,9,1,2,2,2,1,1,1,10
14,15,0,3,4,3,1,1,1,17
12,14,0,2,2,4,1,1,1,13
16,16,0,2,4,4,1,1,1,17
13,12,0,2,3,3,1,1,1,14
11,10,0,1,2,3,1,1,0,12
10,10,0,1,4,3,1,1,0,10
13,13,0,2,4,4,1,1,1,13
10,9,1,1,4,4,1,1,1,11
12,14,0,1,4,3,1,1,0,13
9,7,2,3,3,2,0,0,1,10
11,11,0,3,2,2,1,0,1,11
0,4,1,1,3,2,0,1,0,0
9,8,3,1,2,1,0,1,1,9
7,7,1,1,4,2,1,0,0,0
9,9,0,1,3,4,1,1,0,9
12,11,0,3,4,3,1,1,1,13
9,11,0,2,1,0,1,1,1,10
13,14,0,1,3,3,0,1,1,13
12,11,0,3,4,3,1,1,1,12
14,13,0,2,4,3,1,1,1,14
12,13,0,1,4,4,1,1,0,12
9,8,1,3,3,4,1,1,1,8
12,13,0,3,2,3,1,1,1,13
6,7,1,2,2,2,1,1,0,8
8,9,0,2,1,1,1,0,0,10
9,11,0,2,4,4,1,1,0,10
8,7,2,2,1,1,1,0,1,7
16,14,0,1,3,3,1,1,0,16
12,13,0,2,3,3,1,1,1,13
9,9,0,1,4,4,1,1,0,8
10,9,0,1,1,1,0,0,1,9
15,15,0,3,2,4,1,1,1,15
11,10,0,3,2,2,1,0,1,12
11,11,0,2,2,2,1,0,0,13
15,15,0,2,4,3,1,1,1,15
14,16,0,2,4,2,1,1,0,16
9,8,0,2,1,1,1,1,0,9
11,10,1,4,3,3,1,0,0,10
10,8,1,2,2,2,1,1,0,10
7,8,3,1,3,2,0,0,0,8
14,14,0,3,2,2,1,1,1,15
12,12,1,1,1,0,1,0,0,13
10,7,0,1,3,3,1,1,0,9
6,5,0,4,4,4,0,1,1,6
11,11,0,3,2,2,1,1,0,10
17,16,0,2,1,2,1,0,1,18
14,13,0,2,1,1,1,0,0,14
13,15,0,3,4,4,1,1,0,13
10,12,0,1,2,2,1,0,0,11
12,12,0,3,2,2,1,1,0,13
16,15,0,2,3,4,1,1,0,16
7,7,1,2,1,1,1,1,1,7
10,9,1,1,2,1,1,0,1,10
12,12,0,2,2,2,1,1,1,12
9,9,0,1,2,1,1,0,0,11
17,13,0,2,2,2,1,1,0,17
10,9,0,1,3,2,1,1,0,11
13,14,0,2,3,3,1,1,1,14
12,12,0,1,4,3,1,1,0,15
14,14,0,2,3,2,1,0,0,15
13,12,0,1,2,3,1,0,0,13
7,9,0,2,2,1,1,1,1,8
14,16,0,2,4,4,1,1,0,14
14,14,0,2,1,2,1,1,0,14
9,7,0,2,1,1,1,0,1,9
8,7,0,1,3,2,0,1,0,7
14,14,0,3,1,1,1,1,0,14
10,11,0,1,3,2,1,0,1,10
12,12,0,4,3,3,1,1,0,12
14,15,0,2,3,2,1,0,1,15
9,10,0,3,2,2,1,0,0,10
14,14,0,1,2,2,1,0,1,16
7,7,0,3,4,4,1,1,0,8
11,11,0,1,1,1,1,1,1,11
15,14,0,2,2,3,1,1,0,16
